"Batch","File","Lib","Plot","Entry","Src","Pad","Map"
"批次234","対魔忍深渊侵蚀-阿莎姬深渊化.md","主库","8799","1591","5","False","True"
"批次234","対魔忍深渊侵蚀-雪风先驱.md","主库","7251","1597","5","False","True"
"批次235","対魔忍深渊侵蚀-东京陷落.md","主库","6946","1217","6","False","True"
"批次235","対魔忍深渊侵蚀-反抗军.md","主库","6611","1639","6","False","True"
"批次235","対魔忍深渊侵蚀-学园沦陷.md","主库","7270","933","6","False","True"
"批次235","対魔忍深渊侵蚀-布拉克融合.md","主库","7261","1060","6","False","True"
"批次235","対魔忍深渊侵蚀-最终仪式.md","主库","6641","1158","6","False","True"
"批次236","対魔忍RPG-最终决战.md","主库","6261","1554","6","False","True"
"批次236","黑兽帝国终焉-帝国建立.md","主库","5966","1586","4","False","True"
"批次236","黑兽帝国终焉-神格降临.md","主库","5999","1567","4","False","True"
"批次237","黑兽帝国终焉-公主军团.md","主库","3268","1531","3","False","True"
"批次237","黑兽帝国终焉-女神苏醒.md","主库","2729","1556","3","False","True"
"批次237","黑兽帝国终焉-阿丽西亚觉醒.md","主库","5283","1529","3","False","True"
"批次239","魔界骑士深渊大门-大门开启.md","主库","2230","1592","3","False","True"
"批次239","魔界骑士深渊大门-英格丽德深渊化.md","主库","1865","1553","3","False","True"
"批次239","黑兽魔王觉醒-大陆统一.md","主库","5259","1566","3","False","True"
"批次239","黑兽魔王觉醒-女神堕落.md","主库","2428","1572","3","False","True"
"批次239","黑兽魔王觉醒-沃尔特进化.md","主库","1800","1563","3","False","True"
"批次240","剑星-天使会堂.md","主库","8259","1491","3","False","True"
"批次240","闪乱神乐-阴阳师决战.md","主库","9061","1607","3","False","True"
"批次241","Muv-Luv-Alternative计划.md","主库","9809","2031","3","False","True"
"批次242","民俗-封神遗冢.md","主库","5362","1665","3","False","True"
"批次242","民俗-酆都鬼城.md","主库","3481","1694","3","False","True"
"批次242","淫妖虫母巢觉醒-女皇诞生.md","主库","4408","1666","3","False","True"
"批次242","淫妖虫母巢觉醒-铃音融合.md","主库","2903","1658","3","False","True"
"批次242","魔界骑士深渊大门-牺牲之门.md","主库","3282","1670","3","False","True"
"批次244","姫骑士诸神黄昏-神明堕落.md","主库","3479","1308","4","False","True"
"批次244","淫妖虫母巢觉醒-共生体.md","主库","5012","1322","4","False","True"
"批次244","淫妖虫母巢觉醒-基因进化.md","主库","3742","1316","4","False","True"
"批次244","淫妖虫母巢觉醒-最终选择.md","主库","3352","1273","4","False","True"
"批次244","淫妖虫母巢觉醒-母巢核心.md","主库","3366","1276","4","False","True"
"批次245","姫骑士诸神黄昏-信仰崩塌.md","主库","6803","1616","4","False","True"
"批次245","姫骑士诸神黄昏-姐妹分离.md","主库","6456","1613","4","False","True"
"批次245","姫骑士诸神黄昏-神器觉醒.md","主库","6247","1609","4","False","True"
"批次245","姫骑士诸神黄昏-神殿仪式.md","主库","6308","1628","4","False","True"
"批次245","姫骑士诸神黄昏-莉莉亚神化.md","主库","6206","1628","4","False","True"
"批次246","假面骑士真.md","主库","4810","1558","4","False","True"
"批次246","姫骑士诸神黄昏-弑神之战.md","主库","6147","1606","4","False","True"
"批次246","姫骑士诸神黄昏-新神诞生.md","主库","6078","1594","4","False","True"
"批次246","钢铁魔女虚空战争-安妮罗泽虚空化.md","主库","4940","1555","4","False","True"
"批次246","钢铁魔女虚空战争-维度裂隙.md","主库","5011","1552","4","False","True"
"批次247","钢铁魔女虚空战争-协会沦陷.md","主库","7082","1334","4","False","True"
"批次247","钢铁魔女虚空战争-最后的魔女.md","主库","6761","1303","4","False","True"
"批次247","钢铁魔女虚空战争-维度崩塌.md","主库","6917","1318","4","False","True"
"批次247","钢铁魔女虚空战争-虚空之心.md","主库","6764","1342","4","False","True"
"批次247","钢铁魔女虚空战争-魔女狩猎.md","主库","7304","1384","4","False","True"
"批次248","Ben 10：全面进化（Time War）.md","主库","6528","1301","3","False","True"
"批次248","史上最强弟子兼一：暗之最终战.md","主库","3830","1000","3","False","True"
"批次248","极道帝兵（遮天概念向）.md","主库","2926","1113","3","False","True"
"批次248","钢铁魔女虚空战争-新世界.md","主库","6633","1307","4","False","True"
"批次248","龙符（梦入神机）.md","主库","3073","1197","3","False","True"
"批次249","GTA 3.md","主库","6354","1513","4","False","True"
"批次249","GTA：罪恶都市.md","主库","8945","1532","4","False","True"
"批次251","对魔忍雪风-同伴双堕.md","主库","9012","2231","10","False","True"
"批次251","对魔忍雪风-新人堕落.md","主库","9168","2200","10","False","True"
"批次251","对魔忍雪风-母女再会.md","主库","8939","2302","10","False","True"
"批次251","巨乳女战士土下座催眠-全队土下座.md","主库","8208","1557","4","False","True"
"批次251","巨乳女战士土下座催眠-神官堕落.md","主库","8134","1574","4","False","True"
"批次252","姫骑士莉莉亚-主仆双堕.md","主库","6835","1247","4","False","True"
"批次252","姫骑士莉莉亚-侍女沦陷.md","主库","6568","1246","4","False","True"
"批次252","姫骑士莉莉亚-公主陷落.md","主库","6646","1190","4","False","True"
"批次252","姫骑士莉莉亚-妹妹堕落.md","主库","6926","1440","4","False","True"
"批次252","对魔忍雪风2-彻底陷落.md","主库","8940","1633","10","False","True"
"批次253","姫骑士莉莉亚-完全堕落.md","主库","7935","1528","4","False","True"
"批次253","姫骑士莉莉亚-王族血统.md","主库","8789","1522","4","False","True"
"批次253","淫妖虫-产卵.md","主库","6871","1542","4","False","True"
"批次253","淫妖虫-蝕变.md","主库","6717","1530","7","False","True"
"批次253","淫妖虫-退魔失败.md","主库","7400","1570","7","False","True"
"批次254","淫妖虫-姐弟共堕.md","主库","6873","1582","4","False","True"
"批次254","淫妖虫-完全寄生.md","主库","6703","1520","4","False","True"
"批次254","魔界骑士英格丽德-公开凌辱.md","主库","6787","1568","4","False","True"
"批次254","魔界骑士英格丽德-妹妹威胁.md","主库","6848","1529","4","False","True"
"批次254","魔界骑士英格丽德-骑士陷落.md","主库","6926","1554","4","False","True"
"批次257","催眠性指導-学园催眠.md","主库","5499","1602","3","False","True"
"批次257","史上最强弟子兼一：D of D 大赛.md","主库","7159","1589","4","False","True"
"批次257","巨乳公主催眠-双堕王城.md","主库","5342","1583","3","False","True"
"批次257","巨乳公主催眠-王宫阴谋.md","主库","5687","1584","3","False","True"
"批次257","巨乳公主催眠-骑士陷落.md","主库","5476","1572","3","False","True"
"批次258","催眠性指導-性指导课.md","主库","5248","1560","3","False","True"
"批次258","催眠性指導-校园支配.md","主库","5316","1581","3","False","True"
"批次258","催眠性指導-母女沦陷.md","主库","5367","1621","3","False","True"
"批次258","性爱成瘾-依存沉沦.md","主库","5070","1575","3","False","True"
"批次258","性爱成瘾-堕落处女.md","主库","5085","1555","3","False","True"
"批次259","催眠性指導2-新任女教.md","主库","8706","1579","5","False","True"
"批次259","催眠性指導2-泳装陷落.md","主库","8285","1557","4","False","True"
"批次259","性爱成瘾-眼镜淫乱.md","主库","8416","1667","4","False","True"
"批次259","黑暗圣经新约-新篇开启.md","主库","6871","1563","4","False","True"
"批次259","黑暗圣经新约-绚香堕落.md","主库","6146","1567","4","False","True"
"批次260","催眠性指導3-姐妹堕落.md","主库","8157","1570","4","False","True"
"批次260","催眠性指導3-家庭教师.md","主库","8083","1571","4","False","True"
"批次260","催眠性指導4-人妻崩坏.md","主库","8051","1562","4","False","True"
"批次260","催眠性指導4-终极宴会.md","主库","8100","1583","4","False","True"
"批次260","黑暗圣经起源-往昔悲剧.md","主库","6108","1556","4","False","True"
"批次265","剑星-地下遗迹.md","主库","6794","1196","5","False","True"
"批次265","受胎岛-逃脱失败.md","主库","8257","1569","6","False","True"
"批次265","奴隶区-完全服从.md","主库","9837","1557","3","False","True"
"批次265","爱嬢学园-羞耻课程.md","主库","6763","1556","3","False","True"
"批次265","爱嬢学园-贵族入学.md","主库","7721","1555","3","False","True"
"批次266","命运石之门-D-Mail干涉.md","主库","6342","1374","5","False","True"
"批次266","民俗-赶尸匠.md","主库","6726","1565","3","False","True"
"批次266","爱嬢学园-毕业典礼.md","主库","6524","1550","3","False","True"
"批次266","痴漢電車-早高峰.md","主库","6680","1620","3","False","True"
"批次266","石世界-科学王国.md","主库","6986","1505","3","False","True"
"批次267","民俗-冥婚夜.md","主库","5597","1502","3","False","True"
"批次267","痴漢電車-人妻陷落.md","主库","5491","1564","3","False","True"
"批次267","痴漢電車-女学生.md","主库","5358","1579","3","False","True"
"批次267","痴漢電車-集团犯罪.md","主库","5574","1577","3","False","True"
"批次267","黑暗圣经2.md","主库","6276","1560","3","False","True"
"批次268","Ben 10：变异危机.md","主库","5398","1574","3","False","True"
"批次268","凌辱学园-优等生.md","主库","5018","1511","3","False","True"
"批次268","凌辱学园-新生入学.md","主库","5008","1500","3","False","True"
"批次268","史上最强弟子兼一：黑暗且来.md","主库","5406","1550","3","False","True"
"批次268","黑暗圣经3.md","主库","5230","1551","3","False","True"
"批次269","Muv-Luv-横滨基地防线.md","主库","9066","1514","3","False","True"
"批次269","凌辱学园-反抗无效.md","主库","6950","1545","3","False","True"
"批次269","剑星-废土边缘.md","主库","6492","1535","3","False","True"
"批次269","命运石之门-秋叶原潜入.md","主库","6561","1528","3","False","True"
"批次269","闪乱神乐-飞蛇入学篇.md","主库","6276","1534","3","False","True"
"批次272","Summer Pockets REFLECTION BLUE.md","休闲","4810","1888","4","False","False"
"批次272","Summer Pockets.md","休闲","3452","1686","4","False","False"
"批次272","星之梦 (Planetarian).md","休闲","3942","1923","4","False","False"
"批次273","ATRI -My Dear Moments-.md","休闲","3489","1802","4","False","False"
"批次273","One ~辉之季节~.md","休闲","3125","1748","4","False","False"
"批次273","交响乐之雨.md","休闲","2677","1761","4","False","False"
"批次273","水仙 (Narcissu).md","休闲","2814","1778","4","False","False"
"批次273","水月 (Suigetsu).md","休闲","2749","1787","4","False","False"
"批次274","月姬 (Tsukihime Original).md","休闲","5046","2466","3","False","False"
"批次278","寒蝉鸣泣之时－ 皆杀篇.md","休闲","3647","480","4","False","False"
"批次278","寒蝉鸣泣之时－ 祭林篇.md","休闲","3763","505","4","False","False"
"批次278","寒蝉鸣泣之时－ 罪灭篇.md","休闲","4537","534","4","False","False"
"批次278","海猫鸣泣之时 (Ep1-4).md","休闲","3798","497","4","False","False"
"批次278","海猫鸣泣之时散 (Ep5-8).md","休闲","3522","479","4","False","False"
"批次279","Cross†Channel.md","休闲","3376","465","4","False","False"
"批次279","樱之诗 (Sakura no Uta).md","休闲","3318","446","4","False","False"
"批次279","沙耶之歌.md","休闲","3330","449","4","False","False"
"批次279","美好的每一天 (Subahibi).md","休闲","3544","449","4","False","False"
"批次279","装甲恶鬼村正.md","休闲","3651","484","4","False","False"
"批次281","君与她与她的恋爱 (Totono).md","休闲","5883","2038","4","False","False"
"批次284","传颂之物－ 给逝者的摇篮曲.md","休闲","6264","604","3","False","False"
"批次284","传颂之物－ 虚伪的假面.md","休闲","6202","589","3","False","False"
"批次284","灰色的乐园.md","休闲","6260","742","6","False","False"
"批次284","白色相簿2－ Closing Chapter (终章－Coda).md","休闲","6277","778","3","False","False"
"批次284","白色相簿2－ Introductory Chapter (序章).md","休闲","6277","904","3","False","False"
"批次285","Muv-Luv (Extra & Unlimited).md","休闲","6260","588","5","False","False"
"批次285","Muv-Luv Alternative.md","休闲","6218","555","3","False","False"
"批次285","To Heart 2.md","休闲","6202","624","3","False","False"
"批次285","传颂之物－ 二人的白皇.md","休闲","6222","545","3","False","False"
"批次285","痕 (Kizuato).md","休闲","6267","565","3","False","False"
"批次286","初音岛II (D.C. II).md","休闲","3740","1727","4","False","False"
"批次286","初音岛III (D.C. III).md","休闲","3972","1828","4","False","False"
"批次286","千恋＊万花.md","休闲","3930","1852","4","False","False"
"批次286","魔女的夜宴 (Sanoba Witch).md","休闲","4123","1924","4","False","False"
"批次287","DRACU-RIOT!.md","休闲","3768","1711","4","False","False"
"批次287","Parquet.md","休闲","3582","1640","4","False","False"
"批次287","RIDDLE JOKER.md","休闲","3780","1699","4","False","False"
"批次287","名流得主 (Noble Works).md","休闲","3631","1733","4","False","False"
"批次287","天使嚣嚣 (Tenshi Souzou Re-Boot!).md","休闲","3537","1685","4","False","False"
"批次288","Fortune Arterial.md","休闲","3814","1611","4","False","False"
"批次288","兰斯01－ 寻找小光 (重制版).md","休闲","3304","1611","4","False","False"
"批次288","夜明前的琉璃色.md","休闲","3764","1604","4","False","False"
"批次288","大图书馆的牧羊人.md","休闲","5037","1753","4","False","False"
"批次288","秽翼的尤斯蒂娅.md","休闲","3877","1619","4","False","False"
"批次289","兰斯02－ 反叛的少女们 (重制版).md","休闲","2859","1623","4","False","False"
"批次289","兰斯03－ 利萨斯陷落 (重制版).md","休闲","2887","1607","4","False","False"
"批次289","兰斯5D－ 孤独的少女.md","休闲","2635","1608","4","False","False"
"批次289","兰斯IV － 4.1 － 4.2.md","休闲","2774","1603","4","False","False"
"批次289","兰斯VI－ 赛斯崩坏.md","休闲","2711","1618","4","False","False"
"批次290","兰斯10－ 决战.md","休闲","1650","1619","4","False","False"
"批次290","兰斯7－ 战国兰斯.md","休闲","3334","1619","5","False","False"
"批次290","兰斯8－ Rance Quest.md","休闲","2317","1639","4","False","False"
"批次290","兰斯9－ 赫尔曼革命.md","休闲","1951","1600","4","False","False"
"批次290","缘之空 (Yosuga no Sora).md","休闲","2025","1618","6","False","False"
"批次291","妹之形.md","休闲","1446","1650","3","False","False"
"批次291","妹的圣域.md","休闲","2810","1600","3","False","False"
"批次291","学校圣域.md","休闲","2234","1662","3","False","False"
"批次291","悠之空 (Haruka na Sora).md","休闲","1431","1668","6","False","False"
"批次291","茜色圣域.md","休闲","2212","1604","3","False","False"
"批次292","美少女万华镜1－ 被诅咒的传说少女.md","休闲","5821","1589","4","False","False"
"批次292","美少女万华镜2.5－ 献给曾是少女的你.md","休闲","5697","1589","7","False","False"
"批次292","美少女万华镜2－ 勿忘草与永远的少女.md","休闲","5714","1557","4","False","False"
"批次292","美少女万华镜3－ 神明创造的少女们.md","休闲","5697","1582","4","False","False"
"批次292","美少女万华镜4－ 罪与罚的少女.md","休闲","5520","1598","4","False","False"
"批次293","妹天堂! 1.md","休闲","5100","1554","4","False","False"
"批次293","妹天堂! 2.md","休闲","4944","1569","4","False","False"
"批次293","妹天堂! 3.md","休闲","4880","1555","4","False","False"
"批次293","姐姐，要好好做哦！ 1.md","休闲","5251","1565","4","False","False"
"批次293","美少女万华镜5－ 理与迷宫的少女.md","休闲","5594","1564","4","False","False"
"批次298","高加索之南 (Caucasus).md","休闲","2713","1668","4","False","False"
"批次299","9-nine- 天色天歌天籁音.md","休闲","5263","1365","5","False","False"
"批次299","9-nine- 春色春恋春熙风.md","休闲","5262","1280","5","False","False"
"批次299","MakingLovers.md","休闲","4701","1606","7","False","False"
